Name,Team,Salary,WAR
FreddyGalvis,TOR,"4,000,000",1.3
HowieKendrick,WAS,"4,000,000",2.3
TylerFlowers,ATL,"4,000,000",1.4
NickMarkakis,ATL,"4,000,000",0.4
JorgePolanco,MIN,"3,958,333",5.3
AaronSanchez,TOR,"3,900,000",0.78
JoePanik,SF,"3,850,000",1.1
WilmerFlores,ARI,"3,750,000",1.0
JarrodDyson,ARI,"3,750,000",0.8
IanKinsler,SD,"3,750,000",0.1
TreaTurner,WAS,"3,725,000",4.0
EnriqueHernandez,LAD,"3,725,000",1.1
NickAhmed,ARI,"3,662,500",3.2
RussellMartin,LAD,"3,600,000",1.25
JuricksonProfar,OAK,"3,600,000",0.2
BrockHolt,BOS,"3,575,000",1.3
Travisd'Arnaud,NYM,"3,515,000",1.5
ChrisTaylor,LAD,"3,500,000",0.8
AvisailGarcia,TB,"3,500,000",0.9
AsdrubalCabrera,TEX,"3,500,000",2.6
KyleSchwarber,CHC,"3,390,000",2.7
JoeKelly,LAD,"3,333,334",1.36
ChadBettis,COL,"3,325,000",0.35
NomarMazara,TEX,"3,300,000",0.1
JeremyJeffress,MIL,"3,175,000",0.41
MiguelRojas,MIA,"3,155,000",1.4
KentaMaeda,LAD,"3,125,000",4.38
LeonysMartin,CLE,"3,000,000",0.3
AdamJones,ARI,"3,000,000",0.1
TuckerBarnhart,CIN,"2,937,500",2.5
ChristianVazquez,BOS,"2,850,000",3.5
JosePeraza,CIN,"2,775,000",0.5
MattDuffy,TB,"2,675,000",0.2
MiguelSano,MIN,"2,650,000",2.5
RobertoPerez,CLE,"2,625,000",4.7
StevenMatz,NYM,"2,625,000",2.49
MatthewBoyd,DET,"2,600,000",3.8
HernanPerez,MIL,"2,500,000",0.1
JamesMcCann,CWS,"2,500,000",1.0
MartinMaldonado,KC,"2,500,000",0.6
JoseIglesias,CIN,"2,500,000",2.5
SandyLeon,BOS,"2,475,000",0.4
KetelMarte,ARi,"2,400,000",4.5
CraigStammen,SD,"2,250,000",1.17
